Tên sản phẩm,Giá gốc,Giá bán (Đã giảm)
J.Michael AL‑500 Alto Saxophone,10.000.000₫,8.000.000₫
J.Michael AL‑500 Alto Saxophone,10.000.000₫,8.000.000₫
Selmer Paris Axos Alto Saxophone,95.000.000₫,93.000.000₫
Selmer Paris Axos Alto Saxophone,95.000.000₫,93.000.000₫
Trevor James – The Horn – Alto Saxophone – Gold Lacquer,0₫,0₫
Trevor James – The Horn – Alto Saxophone – Gold Lacquer,0₫,0₫
Yamaha YAS- Custom 82Z Alto Saxophone,Liên hệ,Liên hệ
Yamaha YAS- Custom 82Z Alto Saxophone,Liên hệ,Liên hệ
Yamaha YAS-26 Alto Saxophone,32.400.000₫,31.000.000₫
Yamaha YAS-26 Alto Saxophone,32.400.000₫,31.000.000₫
Yamaha YAS-280 Alto Saxophone,35.000.000₫,33.000.000₫
Yamaha YAS-280 Alto Saxophone,35.000.000₫,33.000.000₫
Yamaha YAS-480 – Alto Saxophone – Gold Lacquer,53.500.000₫,52.500.000₫
Yamaha YAS-480 – Alto Saxophone – Gold Lacquer,53.500.000₫,52.500.000₫
Yamaha YAS-62 – Alto Saxophone – Gold Lacquer,81.990.000₫,80.990.000₫
Yamaha YAS-62 – Alto Saxophone – Gold Lacquer,81.990.000₫,80.990.000₫
Yamaha YAS-875EX Alto Saxophone,Liên hệ,Liên hệ
Yamaha YAS-875EX Alto Saxophone,Liên hệ,Liên hệ
Yamaha YTS-280 Tenor Saxophone,52.720.000₫,51.720.000₫
Yamaha YTS-280 Tenor Saxophone,52.720.000₫,51.720.000₫
Yanagisawa AWO1 Alto Saxophone,0₫,0₫
Yanagisawa AWO1 Alto Saxophone,0₫,0₫
